name,price,url,stone_type,stone_shape,stone_clarity,stone_color,stone_carat_weight,metal_type,metal_color,gold_karat,ring_size,category,source
Vintage T&C 1.74 Carat 14K White Gold Aquamarine & Diamond Filigree Ring,"$1,376 Sale Price",https://www.1stdibs.com/jewelry/rings/cocktail-rings/vintage-tc-174-carat-14k-white-gold-aquamarine-diamond-filigree-ring/id-j_27004132/,"Aquamarine , Diamond",Oval,,G,1.74,"18k Gold , White Gold",White,18k,7,Ring,1stdibs
Antique Edwardian era Platinum 5 Stone Diamond Engagement Ring,"$3,638",https://www.1stdibs.com/jewelry/rings/engagement-rings/antique-edwardian-era-platinum-5-stone-diamond-engagement-ring/id-j_26989952/,Diamond,Brilliant,,,1,Platinum,,,7.5,Ring,1stdibs
"Antique 18ct White Gold & Platinum, Art Deco Sapphire and Diamond Cluster Ring","$2,686",https://www.1stdibs.com/jewelry/rings/cluster-rings/antique-18ct-white-gold-platinum-art-deco-sapphire-diamond-cluster-ring/id-j_26973552/,"Diamond , Sapphire",Emerald,,,18,Platinum,White,18k,6,Ring,1stdibs
14k Yellow Gold & Rainbow Sapphire Dotty Half Eternity Ring,"$2,218 / item",https://www.1stdibs.com/jewelry/rings/band-rings/14k-yellow-gold-rainbow-sapphire-dotty-half-eternity-ring/id-j_27052052/,"Sapphire , Blue Sapphire , Pink Sapphire , Green Sapphire , Purple Sapphire",Round,,,,"18k Gold , Yellow Gold",Yellow,18k,6.75,Ring,1stdibs
"14ct Yellow Gold, 1980s Large 19.64 Carat Aquamarine & Baguette Cut Diamond Ring","$6,199",https://www.1stdibs.com/jewelry/rings/cocktail-rings/14ct-yellow-gold-1980s-large-1964-carat-aquamarine-baguette-cut-diamond-ring/id-j_26951962/,"Aquamarine , Diamond",Emerald,,,19.64,"14k Gold , Yellow Gold",Yellow,14k,9,Ring,1stdibs
Vintage 18k Blue Sapphire Ring Band Natural and Solid yellow gold,"$3,600",https://www.1stdibs.com/jewelry/rings/band-rings/vintage-18k-blue-sapphire-ring-band-natural-solid-yellow-gold/id-j_27232862/,"Diamond , Blue Sapphire",Oval,,G,,"18k Gold , Yellow Gold",Yellow,18k,7,Ring,1stdibs
Oval Teal Blue Sapphire and Diamond Platinum Engagement Ring – GIA Certified,"$24,375 Sale Price",https://www.1stdibs.com/jewelry/rings/engagement-rings/oval-teal-blue-sapphire-diamond-platinum-engagement-ring-gia-certified/id-j_26847442/,"Diamond , Blue Sapphire",Oval,,,,Platinum,,,6,Ring,1stdibs
Vintage Art Deco 1 Carat Old Mine Cut Diamond Engagement Ring 14K White Gold,"$4,800",https://www.1stdibs.com/jewelry/rings/engagement-rings/vintage-art-deco-1-carat-old-mine-cut-diamond-engagement-ring-14k-white-gold/id-j_26694822/,Diamond,Old Mine,,G,1,"Gold , 14k Gold , White Gold",White,14k,6,Ring,1stdibs
Natural 6.09 Carat Princess Cut Diamond Halo 18-Karat Engagement Ring In Stock,"$29,995",https://www.1stdibs.com/jewelry/rings/engagement-rings/natural-609-carat-princess-cut-diamond-halo-18-karat-engagement-ring-stock/id-j_21919052/,Diamond,Princess,,G,6.09,"Gold , White Gold , 18k Gold",White,18k,6.25,Ring,1stdibs
"Antique 18ct Gold & Platinum, Edwardian Sapphire and Diamond Seven Stone Ring","$3,375",https://www.1stdibs.com/jewelry/rings/engagement-rings/antique-18ct-gold-platinum-edwardian-sapphire-diamond-seven-stone-ring/id-j_26947212/,"Diamond , Sapphire",Oval,,,18,Platinum,,18k,8,Ring,1stdibs
"Preloved Platinum, 2 Carat Diamond Marquise / Navette Shaped Ring","$12,055",https://www.1stdibs.com/jewelry/rings/engagement-rings/preloved-platinum-2-carat-diamond-marquise-navette-shaped-ring/id-j_26947012/,Diamond,Marquise,,,2,Platinum,,,6,Ring,1stdibs
"Antique 18ct White Gold and Platinum, Sapphire & Diamond Five Stone Band Ring","$1,370",https://www.1stdibs.com/jewelry/rings/band-rings/antique-18ct-white-gold-platinum-sapphire-diamond-five-stone-band-ring/id-j_27168592/,"Diamond , Sapphire",Mixed,,,18,Platinum,White,18k,8,Ring,1stdibs
Michael Kneebone Satsuma Coral Chrysophrase Diamond Cocktail Ring,"$3,200",https://www.1stdibs.com/jewelry/rings/cocktail-rings/michael-kneebone-satsuma-coral-chrysophrase-diamond-cocktail-ring/id-j_26959792/,"Chrysophrase , Coral , Diamond",Mixed,,,,14k Gold,,14k,7,Ring,1stdibs
18K White Gold 1.65ct Oval Pink Sapphire & 0.56ct Diamond Fine Band Ring,"$3,600 Sale Price",https://www.1stdibs.com/jewelry/rings/band-rings/18k-white-gold-165ct-oval-pink-sapphire-056ct-diamond-fine-band-ring/id-j_26955442/,"Diamond , Pink Sapphire",Oval,,G,1.65,"18k Gold , White Gold",White,18k,7,Ring,1stdibs
2.41 CTW Natural Emerald Diamond Three Stone Engagement Ring in 18k Yellow Gold,"$3,630 / item",https://www.1stdibs.com/jewelry/rings/three-stone-rings/241-ctw-natural-emerald-diamond-three-stone-engagement-ring-18k-yellow-gold/id-j_22509052/,"Diamond , Emerald",Octagon,,G,2.41,"Gold , 18k Gold , Yellow Gold",Yellow,18k,,Ring,1stdibs
Henry Daussi Natural Cushion Cut Diamond Halo Platinum Engagement Ring In Stock,"$34,395 Sale Price",https://www.1stdibs.com/jewelry/rings/engagement-rings/henry-daussi-natural-cushion-cut-diamond-halo-platinum-engagement-ring-stock/id-j_17483782/,Diamond,Cushion,,,,Platinum,,,5.5,Ring,1stdibs
IGI 18K 3.04 ct Natural Color Play Sphene Diamonds Antique Engagement Ring,"$5,500",https://www.1stdibs.com/jewelry/rings/engagement-rings/igi-18k-304-ct-natural-color-play-sphene-diamonds-antique-engagement-ring/id-j_27327212/,"Diamond , Pink Sapphire",Asscher,,,3.04,"Gold , 18k Gold , White Gold",White,18k,6.5,Ring,1stdibs
7.55 Carat Peach Tourmaline Engagement Ring – Emerald Cut with Shield Diamonds,"$23,800",https://www.1stdibs.com/jewelry/rings/three-stone-rings/755-carat-peach-tourmaline-engagement-ring-emerald-cut-shield-diamonds/id-j_26821612/,"Diamond , Tourmaline , White Diamond",Emerald,,,7.55,Platinum,,,6.5,Ring,1stdibs
ICA 18K White Gold 1.01ct Cornflower Blue Sapphire & 0.63ct Diamond Cluster Ring,"$1,890 Sale Price",https://www.1stdibs.com/jewelry/rings/cluster-rings/ica-18k-white-gold-101ct-cornflower-blue-sapphire-063ct-diamond-cluster-ring/id-j_26934132/,"Diamond , Sapphire , Blue Sapphire",Oval,,G,1.01,"18k Gold , White Gold",White,18k,7,Ring,1stdibs
