name,price,url,stone_type,stone_shape,stone_clarity,stone_color,stone_carat_weight,metal_type,metal_color,gold_karat,ring_size,source
Now + Forever Diamond Solitaire Ring 1/2 carat Marquise 14K White Gold (I/I2),1699,https://www.kay.com/now-forever-diamond-solitaire-ring-12-carat-marquise-14k-white-gold-ii2/p/V-161233301,,,,,,,,,,Kay Jewellers
Diamond Solitaire Ring 3/4 Carat Princess-Cut 14K White Gold (I/I2),1199,https://www.kay.com/diamond-solitaire-ring-34-carat-princesscut-14k-white-gold-ii2/p/V-161290109,Diamond,Princess-Cut,I2,I,3/4,Gold,White,14K,7.0,Kay Jewellers
Now + Forever Diamond Solitaire Ring 1 carat Marquise 14K White Gold (I/I2),3999,https://www.kay.com/now-forever-diamond-solitaire-ring-1-carat-marquise-14k-white-gold-ii2/p/V-161233604,Diamond,Marquise,I2,I,1,Gold,White,14K,7.0,Kay Jewellers
Now + Forever Round-Cut Black Diamond Solitaire Ring 2 ct tw 14K Yellow Gold (I3),1499,https://www.kay.com/now-forever-roundcut-black-diamond-solitaire-ring-2-ct-tw-14k-yellow-gold-i3/p/V-151309109,Diamond,Round,I3,Fancy,2,Gold,Yellow,14K,7.0,Kay Jewellers
Now + Forever Certified Round-Cut Diamond Solitaire Engagement Ring 3 ct tw 14K Rose Gold (I/I2),22999,https://www.kay.com/now-forever-certified-roundcut-diamond-solitaire-engagement-ring-3-ct-tw-14k-rose-gold-ii2/p/V-151299207,Diamond,Round,I2,I,3,Gold,Rose,14K,7.0,Kay Jewellers
Now + Forever Certified Round-Cut Diamond Solitaire Engagement Ring 3 ct tw 14K Yellow Gold (I/I2),22999,https://www.kay.com/now-forever-certified-roundcut-diamond-solitaire-engagement-ring-3-ct-tw-14k-yellow-gold-ii2/p/V-151299106,Diamond,Round,I2,I,3,Gold,Yellow,14K,7.0,Kay Jewellers
Now + Forever Certified Round-Cut Diamond Solitaire Engagement Ring 2 ct tw 14K Rose Gold (I/I2),12999,https://www.kay.com/now-forever-certified-roundcut-diamond-solitaire-engagement-ring-2-ct-tw-14k-rose-gold-ii2/p/V-151298801,Diamond,Round,I2,I,2,Gold,Rose,14K,7.0,Kay Jewellers
Now + Forever Certified Round-Cut Diamond Solitaire Engagement Ring 2 ct tw 14K Yellow Gold (I/I2),12999,https://www.kay.com/now-forever-certified-roundcut-diamond-solitaire-engagement-ring-2-ct-tw-14k-yellow-gold-ii2/p/V-151298700,Diamond,Round,I2,I,2,Gold,Yellow,14K,7.0,Kay Jewellers
Now + Forever Round-Cut Diamond Solitaire Engagement Ring 3/4 ct tw 14K Rose Gold (I/I2),2099,https://www.kay.com/now-forever-roundcut-diamond-solitaire-engagement-ring-34-ct-tw-14k-rose-gold-ii2/p/V-151298407,Diamond,Round,I2,I,3/4,Gold,Rose,14K,7.0,Kay Jewellers
Now + Forever Diamond Solitaire Hearts Ring 1/2 ct tw 14K Rose Gold (I/I2),1699,https://www.kay.com/now-forever-diamond-solitaire-hearts-ring-12-ct-tw-14k-rose-gold-ii2/p/V-151280803,Diamond,Round,I2,I,1/2,Gold,Rose,14K,7.0,Kay Jewellers
Now + Forever Diamond Solitaire Hearts Ring 1/2 ct tw 14K Yellow Gold (I/I2),1699,https://www.kay.com/now-forever-diamond-solitaire-hearts-ring-12-ct-tw-14k-yellow-gold-ii2/p/V-151280702,Diamond,Round,I2,I,1/2,Gold,Yellow,14K,7.0,Kay Jewellers
Now + Forever Round-Cut Diamond Solitaire Engagement Ring 1 ct tw 14K Yellow Gold (I/I2),3999,https://www.kay.com/now-forever-roundcut-diamond-solitaire-engagement-ring-1-ct-tw-14k-yellow-gold-ii2/p/V-151233006,Diamond,Round,I2,I,1,Gold,Yellow,14K,7.0,Kay Jewellers
Now + Forever Diamond Solitaire Ring 1 Carat Round-cut 14K White Gold (I/I2),3999,https://www.kay.com/now-forever-diamond-solitaire-ring-1-carat-roundcut-14k-white-gold-ii2/p/V-151232903,Diamond,Round,I2,I,1,Gold,White,14K,7.0,Kay Jewellers
Diamond Solitaire Engagement Ring 1 ct tw Round-cut 10K White Gold (J/I3),1159,https://www.kay.com/diamond-solitaire-engagement-ring-1-ct-tw-roundcut-10k-white-gold-ji3/p/V-151191804,Diamond,Round,I3,J,1,Gold,White,10K,7.0,Kay Jewellers
Now + Forever Certified Round Diamond Solitaire Engagement Ring 3 ct tw 14K White Gold (I/I2),16099,https://www.kay.com/now-forever-certified-round-diamond-solitaire-engagement-ring-3-ct-tw-14k-white-gold-ii2/p/V-151151901,Diamond,Round,I2,I,3,Gold,White,14K,7.0,Kay Jewellers
Solitaire Engagement Ring 1/2 Carat Diamond 14K Rose Gold (I/I2),1019,https://www.kay.com/solitaire-engagement-ring-12-carat-diamond-14k-rose-gold-ii2/p/V-151141708,Diamond,Round,I2,I,1/2,Gold,Rose,14K,7.0,Kay Jewellers
Now + Forever Certified Diamond Ring 1-1/2 carats Round-cut 14K White Gold (I/I1),9999,https://www.kay.com/now-forever-certified-diamond-ring-112-carats-roundcut-14k-white-gold-ii1/p/V-151140807,Diamond,Round,I1,I,1-1/2,Gold,White,14K,7.0,Kay Jewellers
Now + Forever Solitaire Engagement Ring 1/2 Carat Diamond 14K White Gold (I/I2),1699,https://www.kay.com/now-forever-solitaire-engagement-ring-12-carat-diamond-14k-white-gold-ii2/p/V-151093008,Diamond,Round,I2,I,1/2,Gold,White,14K,7.0,Kay Jewellers
Now + Forever Certified Round-cut Diamond Engagement Ring 2 ct tw 14K White Gold (I/I2),12999,https://www.kay.com/now-forever-certified-roundcut-diamond-engagement-ring-2-ct-tw-14k-white-gold-ii2/p/V-150894400,Diamond,Round,I2,I,2,Gold,White,14K,7.0,Kay Jewellers
Now + Forever Certified Diamond Round-cut Ring 1 carat 14K White Gold (I/I1),5499,https://www.kay.com/now-forever-certified-diamond-roundcut-ring-1-carat-14k-white-gold-ii1/p/V-150884702,Diamond,Round,I1,I,1,Gold,White,14K,7.0,Kay Jewellers
Now + Forever Certified Diamond Round-Cut Solitaire Engagement Ring 1-1/2 carats 14K White Gold (I/I2),7999,https://www.kay.com/now-forever-certified-diamond-roundcut-solitaire-engagement-ring-112-carats-14k-white-gold-ii2/p/V-150882607,Diamond,Round,I2,I,1-1/2,Gold,White,14K,7.0,Kay Jewellers
Diamond Solitaire Ring 3/4 ct Round-Cut 14K White Gold (I/I2),1199,https://www.kay.com/diamond-solitaire-ring-34-ct-roundcut-14k-white-gold-ii2/p/V-150870905,Diamond,Round,I2,I,3/4,Gold,White,14K,7.0,Kay Jewellers
Now + Forever Certified Diamond Solitaire Engagement Ring 2 ct Princess-cut 14K White Gold (I/I2),12999,https://www.kay.com/now-forever-certified-diamond-solitaire-engagement-ring-2-ct-princesscut-14k-white-gold-ii2/p/V-142116906,Diamond,Princess-Cut,I2,I,2,Gold,White,14K,7.0,Kay Jewellers
Now + Forever Certified Diamond Solitaire Engagement Ring 1-1/2 ct Princess 14K White Gold (I/I2),7999,https://www.kay.com/now-forever-certified-diamond-solitaire-engagement-ring-112-ct-princess-14k-white-gold-ii2/p/V-101358606,Diamond,Princess-Cut,I2,I,1-1/2,Gold,White,14K,7.0,Kay Jewellers
Create your own Neil Lane Bridal Set,4908,https://www.kay.com/create-your-own-neil-lane-bridal-set/p/V-Neilbridalsetqsku,,,,,,,,,,Kay Jewellers
"Le Vian Pretty in Pink Amethyst, Pink Tourmaline, Morganite & Pink Sapphire Ring 14K Strawberry Gold",1499,https://www.kay.com/le-vian-pretty-pink-amethyst-pink-tourmaline-morganite-pink-sapphire-ring-14k-strawberry-gold/p/V-995365602,Tourmaline,Pear,,Pink,,Gold,Rose,14K,7.0,Kay Jewellers
Create your own Neil Lane Engagement Ring,3004,https://www.kay.com/create-your-own-neil-lane-engagement-ring/p/V-Neilbridalqsku,,,,,,,,,,Kay Jewellers
Le Vian Vault Diamond Crossover Cocktail Ring 1-5/8 ct tw 14K Strawberry Gold,3250,https://www.kay.com/le-vian-vault-diamond-crossover-cocktail-ring-158-ct-tw-14k-strawberry-gold/p/V-995326509,Diamond,Round,SI2,Fancy,1-5/8,Gold,Rose,14K,7.0,Kay Jewellers
Neil Lane Diamond Contour Wedding Band 1/4 ct tw 14K White Gold,1199,https://www.kay.com/neil-lane-diamond-contour-wedding-band-14-ct-tw-14k-white-gold/p/V-995251422,Diamond,Round,I1,I,1/4,Gold,White,14K,7.0,Kay Jewellers
Neil Lane Diamond Contour Wedding Band 1/4 ct tw 14K White Gold,1199,https://www.kay.com/neil-lane-diamond-contour-wedding-band-14-ct-tw-14k-white-gold/p/V-995251321,Diamond,Round,I1,I,1/4,Gold,White,14K,7.0,Kay Jewellers
Neil Lane Radiant-Cut Diamond Bridal Set 1-3/8 ct tw 14K White Gold,7199,https://www.kay.com/neil-lane-radiantcut-diamond-bridal-set-138-ct-tw-14k-white-gold/p/V-995251400,Diamond,,,,1-3/8,Gold,White,14K,,Kay Jewellers
Now + Forever Oval-Cut Diamond & Natural Blue Sapphire Engagement Ring 3/4 ct tw 14K White Gold,3699,https://www.kay.com/now-forever-ovalcut-diamond-natural-blue-sapphire-engagement-ring-34-ct-tw-14k-white-gold/p/V-995245608,Diamond,Oval,I2,I,3/4,Gold,White,14K,7.0,Kay Jewellers
Neil Lane Marquise-Shaped Diamond Halo Bridal Set 1-5/8 ct tw 14K White Gold,9399,https://www.kay.com/neil-lane-marquiseshaped-diamond-halo-bridal-set-158-ct-tw-14k-white-gold/p/V-995251300,Diamond,,,,1-5/8,Gold,White,14K,,Kay Jewellers
Now + Forever Oval-Cut Diamond Halo Engagement Ring 1 ct tw 14K Yellow Gold,3999,https://www.kay.com/now-forever-ovalcut-diamond-halo-engagement-ring-1-ct-tw-14k-yellow-gold/p/V-995245406,Diamond,Oval,I2,I,1,Gold,Yellow,14K,7.0,Kay Jewellers
Now + Forever Princess-Cut Diamond Double Halo Engagement Ring 1 ct tw 14K White Gold,3999,https://www.kay.com/now-forever-princesscut-diamond-double-halo-engagement-ring-1-ct-tw-14k-white-gold/p/V-995245103,Diamond,Princess-Cut,I2,I,1,Gold,White,14K,7.0,Kay Jewellers
Neil Lane Pear-Shaped Diamond Double Halo Engagement Ring 7/8 ct tw 14K White Gold,1919,https://www.kay.com/neil-lane-pearshaped-diamond-double-halo-engagement-ring-78-ct-tw-14k-white-gold/p/V-995241407,Diamond,Pear,I1,I,7/8,Gold,White,14K,7.0,Kay Jewellers
Now + Forever Multi-Diamond Center Oval Halo Engagement Ring 1 ct tw 14K Yellow Gold,2999,https://www.kay.com/now-forever-multidiamond-center-oval-halo-engagement-ring-1-ct-tw-14k-yellow-gold/p/V-995208206,Diamond,Round,I2,I,1,Gold,Yellow,14K,7.0,Kay Jewellers
Le Vian Good Karma Diamond Ring 1-1/3 ct tw 14K Honey Gold,2740,https://www.kay.com/le-vian-good-karma-diamond-ring-113-ct-tw-14k-honey-gold/p/V-995199700,Diamond,Round,SI2,Fancy,1-1/3,Gold,Yellow,14K,7.0,Kay Jewellers
Now + Forever Princess-Cut Black Diamond & White Diamond Halo Engagement Ring 1-1/5 ct tw 14K White Gold,2999,https://www.kay.com/now-forever-princesscut-black-diamond-white-diamond-halo-engagement-ring-115-ct-tw-14k-white-gold/p/V-995197403,Diamond,Princess-Cut,I3,Fancy,1-1/5,Gold,White,14K,7.0,Kay Jewellers
Now + Forever Round-Cut Diamond Wedding Band 1/3 ct tw 14K Yellow Gold,1099,https://www.kay.com/now-forever-roundcut-diamond-wedding-band-13-ct-tw-14k-yellow-gold/p/V-877178323,Diamond,Round,I2,I,1/3,Gold,Yellow,14K,7.0,Kay Jewellers
Now + Forever Baguette & Round-Cut Multi-Diamond Center Engagement Ring 2-1/4 ct tw 14K Yellow Gold,5899,https://www.kay.com/now-forever-baguette-roundcut-multidiamond-center-engagement-ring-214-ct-tw-14k-yellow-gold/p/V-877178311,Diamond,Round,I2,I,2-1/4,Gold,Yellow,14K,7.0,Kay Jewellers
Le Vian Chocolate Waterfall Diamond Bypass Ring 1/2 ct tw 14K Honey Gold,1680,https://www.kay.com/le-vian-chocolate-waterfall-diamond-bypass-ring-12-ct-tw-14k-honey-gold/p/V-995202607,Diamond,Round,SI2,Fancy,1/2,Gold,Yellow,14K,7.0,Kay Jewellers
