name,price,url,stone_type,stone_shape,stone_clarity,stone_color,stone_carat_weight,metal_type,metal_color,gold_karat,ring_size,source
GLAMIRA Bracelet Avant,"$5,931.00",https://www.glamira.com/glamira-bracelet-avant.html,Zirconia,Round,AAAAA,White,1.797,Gold,Rose & White,14K,,Glamira
Women's Bracelet Zakros,"$5,900.00",https://www.glamira.com/womens-bracelet-zakros.html,Lab Grown Diamond,Round,VS,H,0.1,Gold,Yellow,14K,,Glamira
SYLVIE Bangle Matsalar,"$5,898.00",https://www.glamira.com/sylvie-bangle-matsalar.html,Diamond,Pear,VS,H,,Gold,Yellow,14K,,Glamira
GLAMIRA Bracelet Hysleria,"$5,878.00",https://www.glamira.com/glamira-bracelet-hysleria.html,Diamond,Round,VS,H,0.761,Gold,Yellow,14K,,Glamira
GLAMIRA Bracelet Bartows,"$5,887.00",https://www.glamira.com/glamira-bracelet-bartows.html,Diamond,Round,VS,H,1.184,Gold,Yellow,14K,,Glamira
GLAMIRA Bracelet Hooroon,"$5,859.00",https://www.glamira.com/glamira-bracelet-hooroon.html,Zirconia,Round,AAAAA,White,2.335,Gold,White,9K,,Glamira
GLAMIRA Bracelet Wendie,"$5,856.00",https://www.glamira.com/glamira-bracelet-wendie.html,Lab Grown Diamond,Baguette,VS,H,3.4,Gold,White,14K,,Glamira
Women's Bangle Killinure,"$5,850.00",https://www.glamira.com/womens-bangle-killinure.html,Lab Grown Diamond,Round,VS,H,0.234,Gold,Yellow,14K,,Glamira
GLAMIRA Bracelet Forcefull,"$5,847.00",https://www.glamira.com/glamira-bracelet-forcefull.html,Black Diamond,Round,AAA,Black,2.704,Gold,Red  with Black Rhodium,14K,,Glamira
GLAMIRA Bangle Flarestar,"$5,831.00",https://www.glamira.com/glamira-bangle-flarestar.html,Blue Diamond,Round,VS1,Fancy Deep,1.035,Gold,White,18K,,Glamira
Women's Bracelet Mamertino,"$5,825.00",https://www.glamira.com/womens-bracelet-mamertino.html,Lab Grown Diamond,Round,VS,H,1.41,Gold,Yellow,14K,,Glamira
GLAMIRA Bracelet Grintellor,"$5,825.00",https://www.glamira.com/glamira-bracelet-grintellor.html,Zirconia,Round,AAAAA,White,0.36,Gold,White,14K,,Glamira
GLAMIRA Bracelet Annecking,"$5,822.00",https://www.glamira.com/glamira-bracelet-annecking.html,Zirconia,Round,AAAAA,White,0.993,Gold,White,14K,,Glamira
GLAMIRA Bracelet Bergard,"$5,784.00",https://www.glamira.com/glamira-bracelet-bergard.html,Zirconia,Round,AAAAA,White,0.57,Gold,White,14K,,Glamira
GLAMIRA Bracelet Appiotto,"$5,784.00",https://www.glamira.com/glamira-bracelet-appiotto.html,Zirconia,Baguette,AAAAA,White,0.33,Gold,White,14K,,Glamira
GLAMIRA Bracelet Harpuldiff,"$5,771.00",https://www.glamira.com/glamira-bracelet-harpuldiff.html,Zirconia,Round,AAAAA,White,0.375,Gold,Yellow & White,9K,,Glamira
GLAMIRA Bracelet Ditaches,"$5,777.00",https://www.glamira.com/glamira-bracelet-ditaches.html,Zirconia,Princess,AAAAA,White,1.237,Gold,White,14K,,Glamira
GLAMIRA Bangle Crisante,"$5,770.00",https://www.glamira.com/glamira-bangle-crisante.html,Lab Grown Diamond,Baguette,VS,H,3.44,Gold,Yellow,14K,,Glamira
GLAMIRA Bracelet Flexply,"$5,764.00",https://www.glamira.com/glamira-bracelet-flexply.html,Zirconia,Round,AAAAA,White,1.053,Gold,White,14K,,Glamira
GLAMIRA Bracelet Ardenne,"$5,761.00",https://www.glamira.com/glamira-bracelet-ardenne.html,Zirconia,Baguette,AAAAA,White,1.269,Gold,White,14K,,Glamira
SYLVIE Bangle Striebron,"$5,757.00",https://www.glamira.com/sylvie-bangle-striebron.html,Lab Grown Diamond,Round,VS,H,0.28,Gold,Yellow,14K,,Glamira
GLAMIRA Bracelet Aoste,"$5,744.00",https://www.glamira.com/glamira-bracelet-aoste.html,Zirconia,Round,AAAAA,White,0.765,Gold,White,14K,,Glamira
GLAMIRA Bracelet Enandisas,"$5,750.00",https://www.glamira.com/glamira-bracelet-enandisas.html,Zirconia,Round,AAAAA,White,0.993,Gold,White,14K,,Glamira
GLAMIRA Bracelet Marnede,"$5,743.00",https://www.glamira.com/glamira-bracelet-marnede.html,Zirconia,Round,AAAAA,White,1.397,Gold,White,14K,,Glamira
GLAMIRA Bangle Shona,"$5,741.00",https://www.glamira.com/glamira-bangle-shona.html,Diamond,Baguette,VS,H,1,Gold,White,18K,,Glamira
GLAMIRA Bangle Maar,"$5,737.00",https://www.glamira.com/glamira-bangle-maar.html,Lab Grown Diamond,Round,VS,H,5,Gold,Yellow,14K,,Glamira
GLAMIRA Bracelet Reinforce,"$5,736.00",https://www.glamira.com/glamira-bracelet-reinforce.html,Zirconia,Round,AAAAA,White,0.19,Gold,White,14K,,Glamira
GLAMIRA Bracelet Anzeling,"$5,731.00",https://www.glamira.com/glamira-bracelet-anzeling.html,Zirconia,Round,AAAAA,White,0.51,Gold,White,14K,,Glamira
